ItemName,Brand,Category,StockQty,ArrivalDate,ExpiryDate,DaysUntilExpiry,DailySaleAvg,SpoilageChance,SuggestedAction,StoreLocation,IsSpoiled,OnPromotion,TemperatureSensitive,StoreID,Zone,TemperatureSupport,DistanceToNearestStore,AvgDailySaleInNearbyStores
Brown Bun Pack,Harvest Gold,Bakery,222,2025-06-18,2025-06-22,0.5,23.4,1.0,donate,Mumbai,True,No,False,Mumbai_3,West,False,7.5,25.50253095085909
Mutton Mince 250g,Godrej,Meat,96,2025-06-19,2025-07-01,3.0,22.0,0.29,none,Delhi,False,Yes,True,Delhi_5,North,True,3.7,23.368097843347567
Kurkure Masala,PepsiCo,Snacks,224,2025-06-24,2025-07-06,8.0,3.6,1.0,donate,Bangalore,True,Yes,False,Bangalore_3,Unknown,Unknown,9.7,4.092703423630954
Multigrain Cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_7,Unknown,Unknown,9.6,9.98200467382371
White Bread,Harvest Gold,Bakery,261,2025-06-25,2025-07-04,6.0,20.0,0.43,none,Bangalore,False,No,False,Bangalore_4,Unknown,Unknown,13.3,19.4716923235652
Chicken Breast 500g,Godrej,Meat,263,2025-06-19,2025-06-24,0.5,14.3,1.0,donate,Delhi,True,Yes,True,Delhi_6,North,True,6.9,14.1371559016738
Amul Milk 500ml,Amul,Dairy,185,2025-06-12,2025-06-23,0.5,8.9,1.0,donate,Bangalore,False,No,True,Bangalore_5,Unknown,Unknown,9.6,10.489396985263976
Spinach Bunch,Local Farmer,Produce,268,2025-06-16,2025-06-24,0.5,4.9,1.0,donate,Delhi,False,Yes,True,Delhi_7,North,True,3.9,5.049429827839362
Fish Fillet 300g,FreshCatch,Meat,206,2025-06-18,2025-06-29,1.0,17.1,1.0,donate,Bangalore,True,No,True,Bangalore_6,Unknown,Unknown,11.7,16.774538800564105
Bingo Mad Angles,ITC,Snacks,60,2025-06-22,2025-07-03,5.0,21.6,0.11,none,Delhi,False,Yes,False,Delhi_8,North,True,13.5,19.39404919312268
Chicken Breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_8,Unknown,Unknown,3.8,3.057532088603736
Brown Bun Pack,Harvest Gold,Bakery,39,2025-06-19,2025-06-30,2.0,10.3,0.38,none,Chennai,False,No,False,Chennai_7,Unknown,Unknown,9.2,11.742330189454153
Fish Fillet 300g,FreshCatch,Meat,40,2025-06-21,2025-06-25,0.5,12.5,1.0,donate,Chennai,True,Yes,True,Chennai_8,Unknown,Unknown,7.2,11.247595042159588
Kurkure Masala,PepsiCo,Snacks,148,2025-06-12,2025-06-19,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_9,North,True,4.9,0.7125352148857804
Fish Fillet 300g,FreshCatch,Meat,37,2025-06-15,2025-06-18,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_4,West,False,7.9,3.669707921238142
White Bread,Harvest Gold,Bakery,162,2025-06-26,2025-07-02,4.0,14.2,0.57,monitor,Bangalore,False,No,False,Bangalore_7,Unknown,Unknown,5.5,12.600092038979565
Bingo Mad Angles,ITC,Snacks,289,2025-06-27,2025-07-07,9.0,13.2,0.49,none,Kanpur,False,No,False,Kanpur_9,Unknown,Unknown,12.7,10.8573474923481
Mutton Mince 250g,Godrej,Meat,271,2025-06-22,2025-07-04,6.0,8.9,1.0,donate,Delhi,False,No,True,Delhi_10,North,True,2.3,8.311994451510696
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_9,Unknown,Unknown,8.5,16.390997538160125
Nestlé Yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,0.5,2.8,1.0,donate,Delhi,False,No,True,Delhi_11,North,True,14.9,2.616908010993007
Lays Chips 100g,PepsiCo,Snacks,165,2025-06-21,2025-06-24,0.5,13.4,1.0,donate,Chennai,True,Yes,False,Chennai_10,Unknown,Unknown,13.1,13.44976881297342
Bingo Mad Angles,ITC,Snacks,26,2025-06-15,2025-06-24,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_10,Unknown,Unknown,8.1,12.961849562308917
Spinach Bunch,Local Farmer,Produce,115,2025-06-16,2025-06-23,0.5,22.4,1.0,donate,Kanpur,True,Yes,True,Kanpur_11,Unknown,Unknown,13.4,22.221072305584546
Brown Bun Pack,Harvest Gold,Bakery,42,2025-06-14,2025-06-17,0.5,24.3,0.69,monitor,Kanpur,False,Yes,False,Kanpur_12,Unknown,Unknown,2.2,26.642722144997595
Mother Dairy Butter 100g,Mother Dairy,Dairy,38,2025-06-18,2025-06-28,0.5,12.7,1.0,donate,Bangalore,True,No,True,Bangalore_8,Unknown,Unknown,7.8,12.785956280752709
Kurkure Masala,PepsiCo,Snacks,148,2025-06-12,2025-06-19,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_12,North,True,2.6,0.5083488890258426
Multigrain Cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_13,Unknown,Unknown,8.4,9.98253092546004
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_11,Unknown,Unknown,8.1,23.620404920821787
Mutton Mince 250g,Godrej,Meat,271,2025-06-22,2025-07-04,6.0,8.9,1.0,donate,Delhi,False,No,True,Delhi_13,North,True,6.1,10.30982092360926
Mutton Mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_9,Unknown,Unknown,4.5,25.21630286082133
Mutton Mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_14,North,True,5.8,1.6182931314505011
Kurkure Masala,PepsiCo,Snacks,148,2025-06-12,2025-06-19,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_15,North,True,7.0,0.5418861462103061
Brown Bun Pack,Harvest Gold,Bakery,247,2025-06-25,2025-07-03,5.0,10.0,0.99,donate,Chennai,False,No,False,Chennai_12,Unknown,Unknown,2.9,10.270561948039616
Kurkure Masala,PepsiCo,Snacks,283,2025-06-12,2025-06-15,0.5,12.9,1.0,donate,Chennai,True,No,False,Chennai_13,Unknown,Unknown,12.5,11.378239723077362
Brown Bun Pack,Harvest Gold,Bakery,32,2025-06-24,2025-06-27,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_16,North,True,14.9,19.37586535714822
Brown Bun Pack,Harvest Gold,Bakery,32,2025-06-24,2025-06-27,0.5,21.3,0.6,monitor,Delhi,False,No,False,Delhi_17,North,True,6.0,23.97651286857272
Lays Chips 100g,PepsiCo,Snacks,116,2025-06-14,2025-06-22,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_14,Unknown,Unknown,2.9,5.999938443126327
Chicken Breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_15,Unknown,Unknown,10.7,2.440977496682479
Fish Fillet 300g,FreshCatch,Meat,37,2025-06-15,2025-06-18,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_5,West,False,2.2,4.632835114944544
Lays Chips 100g,PepsiCo,Snacks,116,2025-06-14,2025-06-22,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_16,Unknown,Unknown,11.7,6.374635213367254
Nestlé Yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_6,West,False,5.0,19.36241314112598
Bingo Mad Angles,ITC,Snacks,63,2025-06-25,2025-07-02,4.0,14.9,0.21,none,Mumbai,False,No,False,Mumbai_7,West,False,12.9,12.211658230858292
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_17,Unknown,Unknown,5.8,10.21187760000722
Lays Chips 100g,PepsiCo,Snacks,116,2025-06-14,2025-06-22,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_18,Unknown,Unknown,14.3,8.08786726529187
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_14,Unknown,Unknown,3.6,13.47911058697356
White Bread,Harvest Gold,Bakery,261,2025-06-25,2025-07-04,6.0,20.0,0.43,none,Bangalore,False,No,False,Bangalore_10,Unknown,Unknown,2.1,18.723659710900108
Fish Fillet 300g,FreshCatch,Meat,40,2025-06-21,2025-06-25,0.5,12.5,1.0,donate,Chennai,True,Yes,True,Chennai_15,Unknown,Unknown,10.0,13.152453893814828
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_19,Unknown,Unknown,4.1,10.505198533313992
Mutton Mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_18,North,True,12.5,2.0263337017272645
Spinach Bunch,Local Farmer,Produce,268,2025-06-16,2025-06-24,0.5,4.9,1.0,donate,Delhi,False,Yes,True,Delhi_19,North,True,13.9,5.123480003013667
Mother Dairy Butter 100g,Mother Dairy,Dairy,220,2025-06-19,2025-06-23,0.5,13.7,1.0,donate,Kanpur,False,No,True,Kanpur_20,Unknown,Unknown,14.9,13.282495525656303
Bingo Mad Angles,ITC,Snacks,63,2025-06-25,2025-07-02,4.0,14.9,0.21,none,Mumbai,False,No,False,Mumbai_8,West,False,7.6,12.187361634089305
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_16,Unknown,Unknown,13.3,14.462011272377628
Chicken Breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,0.5,10.3,1.0,donate,Delhi,False,Yes,True,Delhi_20,North,True,11.3,12.354655675574234
Brown Bun Pack,Harvest Gold,Bakery,42,2025-06-14,2025-06-17,0.5,24.3,0.69,monitor,Kanpur,False,Yes,False,Kanpur_21,Unknown,Unknown,7.0,21.37123939017293
Mutton Mince 250g,Godrej,Meat,96,2025-06-19,2025-07-01,3.0,22.0,0.29,none,Delhi,False,Yes,True,Delhi_21,North,True,14.5,22.22429238026684
Bingo Mad Angles,ITC,Snacks,289,2025-06-27,2025-07-07,9.0,13.2,0.49,none,Kanpur,False,No,False,Kanpur_22,Unknown,Unknown,4.4,11.901207415708171
Kurkure Masala,PepsiCo,Snacks,224,2025-06-24,2025-07-06,8.0,3.6,1.0,donate,Bangalore,True,Yes,False,Bangalore_11,Unknown,Unknown,4.9,3.232295424218532
Spinach Bunch,Local Farmer,Produce,253,2025-06-12,2025-06-15,0.5,12.6,1.0,donate,Kanpur,True,Yes,True,Kanpur_23,Unknown,Unknown,9.1,13.459271894035728
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_17,Unknown,Unknown,7.2,21.841969714487057
Bingo Mad Angles,ITC,Snacks,26,2025-06-15,2025-06-24,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_24,Unknown,Unknown,11.3,13.216134383084889
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_18,Unknown,Unknown,6.8,13.89741866423125
Nestlé Yogurt 150g,Nestlé,Dairy,201,2025-06-23,2025-06-26,0.5,20.1,1.0,donate,Mumbai,False,Yes,True,Mumbai_9,West,False,13.7,22.75786321811597
Brown Bun Pack,Harvest Gold,Bakery,39,2025-06-19,2025-06-30,2.0,10.3,0.38,none,Chennai,False,No,False,Chennai_19,Unknown,Unknown,7.2,11.245337713915871
Lays Chips 100g,PepsiCo,Snacks,232,2025-06-23,2025-07-03,5.0,9.7,0.96,donate,Kanpur,False,No,False,Kanpur_25,Unknown,Unknown,9.9,10.508048178652446
Mutton Mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_22,North,True,12.5,1.919567728107321
Amul Milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,2.0,4.6,0.26,none,Chennai,False,No,True,Chennai_20,Unknown,Unknown,14.3,4.636375909755498
Kurkure Masala,PepsiCo,Snacks,148,2025-06-12,2025-06-19,0.5,0.6,1.0,donate,Delhi,True,No,False,Delhi_23,North,True,9.3,0.5482437834889199
Nestlé Yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_12,Unknown,Unknown,7.2,22.32471749672883
Tomato 1kg,Local Farmer,Produce,204,2025-06-18,2025-06-21,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_26,Unknown,Unknown,9.0,8.244037845131242
Chicken Breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,0.5,10.3,1.0,donate,Delhi,False,Yes,True,Delhi_24,North,True,6.8,11.502856061971968
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_21,Unknown,Unknown,13.1,12.484980536156511
Mother Dairy Butter 100g,Mother Dairy,Dairy,38,2025-06-18,2025-06-28,0.5,12.7,1.0,donate,Bangalore,True,No,True,Bangalore_13,Unknown,Unknown,3.9,14.362006955130177
Amul Milk 500ml,Amul,Dairy,12,2025-06-26,2025-06-30,2.0,4.6,0.26,none,Chennai,False,No,True,Chennai_22,Unknown,Unknown,10.2,5.134156827101357
Brown Bun Pack,Harvest Gold,Bakery,222,2025-06-18,2025-06-22,0.5,23.4,1.0,donate,Mumbai,True,No,False,Mumbai_10,West,False,2.6,26.952747719811818
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_27,Unknown,Unknown,6.3,9.010450801444533
Fish Fillet 300g,FreshCatch,Meat,228,2025-06-23,2025-06-27,0.5,20.6,1.0,donate,Bangalore,True,No,True,Bangalore_14,Unknown,Unknown,2.2,18.413361407489653
Kurkure Masala,PepsiCo,Snacks,224,2025-06-24,2025-07-06,8.0,3.6,1.0,donate,Bangalore,True,Yes,False,Bangalore_15,Unknown,Unknown,2.3,3.093421931383636
Bingo Mad Angles,ITC,Snacks,26,2025-06-15,2025-06-24,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_28,Unknown,Unknown,6.5,12.682904385072469
Lays Chips 100g,PepsiCo,Snacks,232,2025-06-23,2025-07-03,5.0,9.7,0.96,donate,Kanpur,False,No,False,Kanpur_29,Unknown,Unknown,6.0,8.908025722771482
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_23,Unknown,Unknown,6.6,13.860342051167274
Mutton Mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_16,Unknown,Unknown,6.3,20.166159122013624
Bingo Mad Angles,ITC,Snacks,26,2025-06-15,2025-06-24,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_30,Unknown,Unknown,10.6,15.962288650992871
Bingo Mad Angles,ITC,Snacks,60,2025-06-22,2025-07-03,5.0,21.6,0.11,none,Delhi,False,Yes,False,Delhi_25,North,True,11.7,21.406196309089346
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_24,Unknown,Unknown,10.8,13.162922750062908
Spinach Bunch,Local Farmer,Produce,145,2025-06-15,2025-06-22,0.5,15.8,1.0,donate,Kanpur,True,No,True,Kanpur_31,Unknown,Unknown,2.1,14.416310164098212
Chicken Breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_32,Unknown,Unknown,9.0,2.3923402711384227
Mother Dairy Butter 100g,Mother Dairy,Dairy,38,2025-06-18,2025-06-28,0.5,12.7,1.0,donate,Bangalore,True,No,True,Bangalore_17,Unknown,Unknown,5.5,12.759736556997032
Fish Fillet 300g,FreshCatch,Meat,37,2025-06-15,2025-06-18,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_11,West,False,7.0,4.6464642259741336
Tomato 1kg,Local Farmer,Produce,204,2025-06-18,2025-06-21,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_33,Unknown,Unknown,2.8,10.741726907279364
Multigrain Cookies,Sunfeast,Bakery,224,2025-06-18,2025-06-29,1.0,9.0,1.0,donate,Kanpur,True,No,False,Kanpur_34,Unknown,Unknown,11.3,9.213323677272925
Nestlé Yogurt 150g,Nestlé,Dairy,262,2025-06-16,2025-06-20,0.5,2.0,1.0,donate,Delhi,True,No,True,Delhi_26,North,True,14.8,2.0956991224080253
Bingo Mad Angles,ITC,Snacks,289,2025-06-27,2025-07-07,9.0,13.2,0.49,none,Kanpur,False,No,False,Kanpur_35,Unknown,Unknown,10.9,12.627603001687785
Tomato 1kg,Local Farmer,Produce,204,2025-06-18,2025-06-21,0.5,9.7,1.0,donate,Kanpur,False,Yes,True,Kanpur_36,Unknown,Unknown,2.7,7.993618184606953
Multigrain Cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_37,Unknown,Unknown,7.0,8.802100373396888
Nestlé Yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_18,Unknown,Unknown,12.0,20.602001128667425
Brown Bun Pack,Harvest Gold,Bakery,222,2025-06-18,2025-06-22,0.5,23.4,1.0,donate,Mumbai,True,No,False,Mumbai_12,West,False,13.5,28.055176116730717
Amul Milk 500ml,Amul,Dairy,11,2025-06-16,2025-06-28,0.5,14.1,0.31,none,Chennai,False,Yes,True,Chennai_25,Unknown,Unknown,7.4,14.429563680939829
Fish Fillet 300g,FreshCatch,Meat,206,2025-06-18,2025-06-29,1.0,17.1,1.0,donate,Bangalore,True,No,True,Bangalore_19,Unknown,Unknown,7.6,19.01522912007285
Chicken Breast 500g,Godrej,Meat,260,2025-06-25,2025-07-05,7.0,13.0,0.57,monitor,Delhi,False,Yes,True,Delhi_27,North,True,10.7,10.7416799081772
Chicken Breast 500g,Godrej,Meat,100,2025-06-26,2025-07-05,7.0,2.8,1.0,donate,Kanpur,True,Yes,True,Kanpur_38,Unknown,Unknown,9.5,2.2757395746719924
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_26,Unknown,Unknown,13.8,14.062615978526711
Chicken Breast 500g,Godrej,Meat,263,2025-06-19,2025-06-24,0.5,14.3,1.0,donate,Delhi,True,Yes,True,Delhi_28,North,True,2.4,15.847439076056627
Spinach Bunch,Local Farmer,Produce,115,2025-06-16,2025-06-23,0.5,22.4,1.0,donate,Kanpur,True,Yes,True,Kanpur_39,Unknown,Unknown,4.5,19.29114541952609
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_27,Unknown,Unknown,6.0,22.1217299779756
Mutton Mince 250g,Godrej,Meat,295,2025-06-26,2025-07-03,5.0,24.6,0.48,none,Bangalore,False,No,True,Bangalore_20,Unknown,Unknown,10.2,20.026615284641725
Kurkure Masala,PepsiCo,Snacks,59,2025-06-20,2025-06-23,0.5,12.2,1.0,donate,Chennai,True,Yes,False,Chennai_28,Unknown,Unknown,3.9,10.362352461066893
Kurkure Masala,PepsiCo,Snacks,283,2025-06-12,2025-06-15,0.5,12.9,1.0,donate,Chennai,True,No,False,Chennai_29,Unknown,Unknown,6.8,13.969919007215994
Fish Fillet 300g,FreshCatch,Meat,37,2025-06-15,2025-06-18,0.5,4.2,1.0,donate,Mumbai,True,Yes,True,Mumbai_13,West,False,4.7,4.490401128412628
Mutton Mince 250g,Godrej,Meat,265,2025-06-15,2025-06-19,0.5,1.7,1.0,donate,Delhi,True,Yes,True,Delhi_29,North,True,14.5,1.3959341513881651
Spinach Bunch,Local Farmer,Produce,253,2025-06-12,2025-06-15,0.5,12.6,1.0,donate,Kanpur,True,Yes,True,Kanpur_40,Unknown,Unknown,5.3,14.543511428200455
Nestlé Yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,0.5,2.8,1.0,donate,Delhi,False,No,True,Delhi_30,North,True,4.1,2.9112452589964097
Nestlé Yogurt 150g,Nestlé,Dairy,267,2025-06-13,2025-06-16,0.5,21.8,1.0,donate,Bangalore,False,No,True,Bangalore_21,Unknown,Unknown,3.4,21.81097293384916
Bingo Mad Angles,ITC,Snacks,26,2025-06-15,2025-06-24,0.5,13.7,0.76,discount,Kanpur,False,No,False,Kanpur_41,Unknown,Unknown,4.8,11.884317134292465
Lays Chips 100g,PepsiCo,Snacks,116,2025-06-14,2025-06-22,0.5,7.0,1.0,donate,Kanpur,True,Yes,False,Kanpur_42,Unknown,Unknown,13.4,7.044138071645772
Brown Bun Pack,Harvest Gold,Bakery,222,2025-06-18,2025-06-22,0.5,23.4,1.0,donate,Mumbai,True,No,False,Mumbai_14,West,False,11.0,21.99009772489602
Chicken Breast 500g,Godrej,Meat,47,2025-06-19,2025-06-25,0.5,10.3,1.0,donate,Delhi,False,Yes,True,Delhi_31,North,True,6.2,9.70245420339668
Nestlé Yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,0.5,2.8,1.0,donate,Delhi,False,No,True,Delhi_32,North,True,6.7,2.5049774972086585
White Bread,Harvest Gold,Bakery,162,2025-06-26,2025-07-02,4.0,14.2,0.57,monitor,Bangalore,False,No,False,Bangalore_22,Unknown,Unknown,2.6,11.889274821751078
Multigrain Cookies,Sunfeast,Bakery,60,2025-06-25,2025-06-30,2.0,10.4,0.58,monitor,Kanpur,False,No,False,Kanpur_43,Unknown,Unknown,2.5,10.238863490818952
Brown Bun Pack,Harvest Gold,Bakery,90,2025-06-26,2025-07-08,10.0,22.4,0.08,none,Chennai,False,Yes,False,Chennai_30,Unknown,Unknown,7.0,23.035786089339567
Nestlé Yogurt 150g,Nestlé,Dairy,217,2025-06-16,2025-06-24,0.5,2.8,1.0,donate,Delhi,False,No,True,Delhi_33,North,True,3.7,2.5485089194796022
Bingo Mad Angles,ITC,Snacks,92,2025-06-20,2025-06-28,0.5,12.1,1.0,donate,Chennai,False,No,False,Chennai_31,Unknown,Unknown,2.2,10.107821446394412
